id,person_id,house,type,constituency_id,start_date,end_date
f114aeb7-79f7-4e22-918d-67550b1fb8ac,944dc2ee-ee29-45e1-94d7-90bdda80f5fa,Commons,NULL,ddde8d87-4b2f-4c9c-8e6c-dbd95178d556,1992-04-09,1997-05-01
0f6fae44-5a9d-4922-a8a4-a4d66a4efff1,f8aea347-47f0-4608-bbfd-69f050762c0f,Commons,NULL,f54c479e-61c7-4982-9093-ccdf7bdb0387,1970-06-18,1974-02-28
8d7ed281-f9c2-4f36-b9ac-699989182579,9e749db8-dee6-4d29-a8cd-02aeea3abb8d,Lords,Life peer,NULL,2022-10-31,NULL
9bbc200e-0845-4047-90bf-3f3fe2a29089,4c902f7f-c28d-4caf-a54d-8ca356a189bd,Commons,NULL,a06271ec-74ce-4646-8b01-ad70b3a19831,1997-05-01,2001-06-07
32c24377-85fe-4aa7-95bd-66cb43f7a32c,4c902f7f-c28d-4caf-a54d-8ca356a189bd,Commons,NULL,a06271ec-74ce-4646-8b01-ad70b3a19831,2001-06-07,2005-05-05
ba914d85-ae2e-46d1-bf4c-0ea4cc463fe0,4c902f7f-c28d-4caf-a54d-8ca356a189bd,Commons,NULL,a06271ec-74ce-4646-8b01-ad70b3a19831,2005-05-05,2010-05-06
35ca1949-86fa-491e-b0fd-e7721372dd2d,549836f6-9414-44bf-a6b8-0fdc3fb37d51,Commons,NULL,9e124163-624f-483f-a523-60409f9df299,2010-05-06,2015-05-07
d45408d9-db3a-4881-84c5-776b9023e011,549836f6-9414-44bf-a6b8-0fdc3fb37d51,Commons,NULL,9e124163-624f-483f-a523-60409f9df299,2015-05-07,2017-06-08
7d7b4bd3-9fd6-41c0-9833-d1d882c41fb9,7af17c11-20aa-4980-b69c-358484183f94,Commons,NULL,08aaf214-a1a0-457d-85e7-41fea938dca9,1997-05-01,2001-06-07
3462f1e8-6f3f-4379-9189-3faaa2d8a538,7af17c11-20aa-4980-b69c-358484183f94,Commons,NULL,08aaf214-a1a0-457d-85e7-41fea938dca9,2001-06-07,2005-05-05
64c508b3-ce93-48ec-be7e-386398482084,7af17c11-20aa-4980-b69c-358484183f94,Commons,NULL,b0c02237-4af3-49fe-b2ac-88cbbffebf92,2010-05-06,2015-05-07
