id,representation_id,party,start_date,end_date
10cce814-ad47-4a56-9436-cba0c5d59df5,b67a22dc-c47d-41aa-b803-0c0a41a9d8c2,Labour,2005-05-05,2010-05-06
2bde1d78-4c9d-4701-8232-1592f4fdc7ef,b4f1cfae-5641-49a4-b7f6-8c7f6e351c36,Labour,1992-04-09,1997-05-01
a0ccac46-4e18-4c7e-a1b7-2bf7d056f205,60a6356d-448d-4440-a8ce-dce678c272db,Labour,1997-05-01,2001-06-07
269bfdb2-abda-4123-b401-bf54fd70901a,4aed2b1c-6cb0-445c-b975-60b0dc25fbb4,Labour,2001-06-07,2005-05-05
6182516c-f415-4a8c-aed0-45140c763fb8,54a9a656-369a-4a86-b78b-1a3ae4a2b1df,Labour,2005-05-05,2010-05-06
a783a239-25f8-4465-9149-ad9da84974c8,256e7b27-bbef-41c9-967c-2d4349bdcde8,Labour,2010-05-06,2015-05-07
2da39632-7867-478b-a7cf-3fd76311d993,d96c7f82-ee9c-4dea-96e0-b363a8b7efe6,Conservative,1992-04-09,1997-05-01
676c2fa3-1ebf-4d4a-ab2d-66e0e562f27e,8890687a-3ace-4df4-8ba4-6ed8e06b5e64,Conservative,1997-05-01,2001-06-07
d5e6e972-5c91-41a5-bf29-7c556b662db4,fc521c75-915b-4184-87a8-7b75694fa7bc,Conservative,2001-06-07,2005-05-05
3b287da4-788e-4022-8ca2-13c9d112aa74,065c0758-d97c-4ee9-8d37-9cd75ce302ff,Conservative,2005-05-05,2010-05-06
5e4a4983-cf29-41a4-a597-af764a7e94aa,095c7fe9-90c7-41ec-a216-11c5572eecb9,Liberal Democrat,1958-05-15,1996-03-19
e7520ce1-5d54-4f3b-a4ef-b55fc2044f03,a705ad43-c527-41d3-b5e4-0ca20daea9f7,Conservative,1979-11-07,1992-11-27
17ec9cc5-3a3c-4ba3-b335-3ddd269c8eaa,aa5a96e0-6990-415a-9f43-c6acf5780ee9,Crossbench,1969-03-27,1999-11-11
9aea9a37-02a7-4797-9581-cf685cfde216,7c75733d-00e7-40b2-9468-e163ee9bc982,Conservative,1974-02-28,1974-10-10
1900813f-ce43-442c-b99e-e8cbda4e7d6d,1290a391-e763-4789-a0c7-32362496a49c,Conservative,1974-10-10,1979-05-03
7541d701-07de-45f6-bc37-f857f610d521,b8c65b0c-3ef7-4aa3-9654-0f419414ceeb,Conservative,1979-05-03,1983-06-09
03851f23-6e76-4f3a-953b-292c46845bb8,b45faa8f-113b-433d-a694-491ecaba9dc0,Conservative,1983-06-09,1987-06-11
9f95a31e-2d6c-4448-8731-3d140847d87b,a355f013-bc2c-4bfa-929e-d59253d09797,Conservative,1987-06-11,1992-04-09
45595e61-6845-437b-b29b-0eb7de609b1f,4a4dc928-caf1-4f59-af9b-2af4b741c34d,Conservative,1992-04-09,1997-05-01
23b8dfb2-dcb4-49e6-9f51-582fae185147,72b882fe-1707-47e7-ab06-2af0f35387a0,Crossbench,1977-03-01,1999-11-11
fbe0f2fe-be61-4bde-8853-e55b439fe3e1,4cb26d81-c7ab-4ec7-b347-fa22ebe8cb5d,Crossbench,1988-01-12,1999-11-11
a3045e4c-01a0-4b4c-b8c5-fa8dc0ccbb9a,c43a2b8c-0d1d-461b-b7ac-ee1babbc780b,Not known,1969-05-30,1986-01-25
80295255-1700-44c6-8b51-7af1a1db3c36,c43a2b8c-0d1d-461b-b7ac-ee1babbc780b,Not known,1969-05-30,1986-01-25
1a44b690-baab-4a26-8af6-1b194c8088e7,73891e8f-733c-49a5-95f9-9975b8dc2342,Conservative,1986-07-24,1999-11-11
82063116-2462-4068-9420-a7c774c56dfc,0f07a132-0225-4982-a507-e639e71ed16b,Liberal Democrat,1996-10-08,NULL
54ef567c-cce1-4c78-b05d-b9e145d2a266,fd87ac0a-6f85-46f8-9037-4b01bf0e6e13,Conservative,1962-02-21,1999-11-11
0e4ba060-8fc7-49a8-9f88-f33368ad64b8,fd87ac0a-6f85-46f8-9037-4b01bf0e6e13,Conservative,1999-11-17,2000-12-07
afe04bda-92f8-4c10-a6d2-b99544928ef3,d974f77f-8c19-4569-86de-9a8b61fbb487,Conservative,1962-02-21,1999-11-11
e27c4181-eb5f-4903-9831-f759038c9222,d974f77f-8c19-4569-86de-9a8b61fbb487,Conservative,1999-11-17,2000-12-07
45ab2111-2e2e-4644-80ab-a65938818112,22914dbe-f910-4fec-9b43-80ffd73300c5,Conservative,2010-05-06,2015-05-07
475cecad-87f7-42f2-9c1b-70a4376e8fe9,45a97392-a34d-46ea-9165-27a372a947c2,Conservative,2015-05-07,2017-06-08
3ec0cb15-7672-4d9c-bd69-128d52b96595,69f55d35-1894-4ee5-984d-2ed47b381235,Conservative,2017-06-08,2019-12-12
46221f96-2a6b-40dc-b2b2-9a9ef2e524a4,e97e13ba-44b1-4201-adb4-11beafcfc1ba,Conservative,2019-12-12,NULL
c41186bc-c313-456a-8678-d137afc935b3,8b9ee30f-e42c-4af4-9cee-fd91ee9b0dc9,Liberal Democrat,2005-05-05,2010-05-06
729f0d54-4bdc-4e70-8231-8334f6672121,2f6725b2-291b-4409-ab2c-480be199dabf,Liberal Democrat,2010-05-06,2015-05-07
74388842-3114-41e2-9969-b67e1efe6576,9dbb84eb-dea9-4cbf-9a92-8b5b2555a2a6,Labour,1997-11-06,2001-06-07
7fa2ed37-8b30-400c-be3d-ff74146638d9,879a6c94-296d-434e-a4ba-ba1d5cccbc72,Labour,2001-06-07,2005-05-05
01f263f4-a0d2-46fb-8b97-2b70449521a2,91f6343e-1935-412a-815d-a3996c3b4d5b,Labour,2005-05-05,2010-05-06
3047cacb-c64f-4abe-9757-93c7f88f1a21,8eff2d3a-695e-4ec5-a8f6-e11dee40487b,Labour,2010-05-06,2015-05-07
009607be-5db7-4bf5-88c4-86991aafd931,ad3025a9-ff91-4f57-a990-789434d929ad,Labour,2010-05-06,2015-05-07
51db7fe5-af6c-4d38-8e86-3994de73534b,aeb47f54-c4fa-4261-8ace-ea344e0aee33,Labour,2015-05-07,2017-06-08
b9d90741-c7d9-4dbc-a275-ec38cb6348b0,0d07ef82-a9e4-471d-80aa-722e09e32ecf,Labour,2017-06-08,2018-05-09
d76fd287-8dd4-4131-af61-4f0c76bb1fff,5ec48cd8-27c4-4877-89f4-64f5890dd480,Conservative,1979-05-03,1983-06-09
eb5cbb0f-09b4-4c45-b619-c12077a4e4df,56418c64-ea4b-4d32-89cf-215dafcf1336,Conservative,1983-06-09,1987-06-11
5bbd8e88-626b-4885-9127-12feefec77d3,0506bc3d-fb6f-426f-8c47-6cb3d67a4d60,Conservative,1987-06-11,1992-04-09
bbf6b8c9-5c53-44c1-afda-a9ebdd712d0d,6548dc46-444a-4a72-a1a4-583105961adc,Conservative,1992-04-09,1997-05-01
f4fad9a2-560a-48de-8bef-541f74f00a10,86204a23-59b7-434d-8ed0-8ac60f458843,Crossbench,1974-11-19,1993-09-08
e791aadf-b3ec-43ce-96e8-ced7b83feba3,b4b18819-4ef3-4cef-a1c7-331a5f3cec75,Conservative,1969-11-27,1999-11-11
618b39f1-1954-4eff-920a-1a4041401fc1,b591675f-d353-4e14-b67c-e810ed7c297b,Conservative,1988-07-12,2005-11-06
f217e93a-75d2-46e8-8355-a9d603f8cf16,7ca48641-a6c4-47d5-bb25-e53b49667447,Labour,2010-05-06,2015-05-07
9afd2e76-063d-471b-b29d-2fc6022eb8ac,40ced045-f13d-49c2-92ea-4867712bb58f,Labour,2015-05-07,2017-06-08
