id,id_parliament,id_ifg_website,name,display_name,normalized_name,short_name,gender,start_date,end_date
ad588704-b7e5-431b-8f2b-0eab2de206b5,4099.0,378.0,Jacob Rees-Mogg,Jacob Rees-Mogg,Jacob Rees-Mogg,Rees-Mogg,M,,
d9eeda41-605d-48a0-9cc7-0efc4a254922,5129.0,,Martin McCluskey,Martin McCluskey,Martin McCluskey,McCluskey,M,,
765fcf8a-d425-4196-95d5-0f196390e29f,3777.0,,Baroness Vadera,Baroness Vadera,Baroness Vadera,Vadera,F,2007-06-29,
dce1438c-c3fa-4f43-ad0b-0f6bcab42a71,1315.0,,Carol Mather,Carol Mather,Carol Mather,Mather,M,,
502dbe81-777a-4dec-ab4e-0f6cfe581162,4370.0,,Jess Phillips,Jess Phillips,Jess Phillips,Phillips,F,,
de18ffda-07e4-44c3-902d-0fbb8d7f5d41,4210.0,,Lord Ahmad of Wimbledon,Lord Ahmad of Wimbledon,Lord Ahmad of Wimbledon,Ahmad,M,,
9f326101-a1fd-407e-a6c2-0fd8111a1f47,3974.0,,Claire Perry,Claire Perry,Claire Perry,Perry,F,,
274fcc1e-135e-45c3-a48b-10004ad57802,3617.0,,Lord Trafford,Lord Trafford,Lord Trafford,Trafford,M,,
2a8d4185-7770-4e66-a25a-104d6770c7c5,1295.0,,Neil Macfarlane,Neil Macfarlane,Neil Macfarlane,Macfarlane,M,,
856333d8-f313-4c72-9bb1-104e92474853,3939.0,,Andrew Percy,Andrew Percy,Andrew Percy,Percy,M,,
6ab243f1-46c6-4ba6-9f86-105d68798bc1,4808.0,,Ruth Edwards,Ruth Edwards,Ruth Edwards,Edwards,F,,
5065610c-9d90-4404-9a9f-106caf231475,1428.0,,Bill Wiggin,Bill Wiggin,Bill Wiggin,Wiggin,M,,
7905c3e8-7259-4c1d-9dd1-1078a811625f,4763.0,,Fay Jones,Fay Jones,Fay Jones,Jones,F,,
620305c4-5e54-4a61-9646-10f23d5832d7,2709.0,,Lord Donoughue,Lord Donoughue,Lord Donoughue,Donoughue,M,,
307237f4-4d35-4573-b479-112d806d5761,1544.0,,Lord Lancaster of Kimbolton,Lord Lancaster of Kimbolton,Lord Lancaster of Kimbolton,Lancaster,M,2020-09-16,
307237f4-4d35-4573-b479-112d806d5761,1544.0,,Mark Lancaster,Mark Lancaster,Mark Lancaster,Lancaster,M,,2020-09-16
68d72c6d-5f99-4720-8680-11820ef27dcb,908.0,,Lord Luce,Lord Luce,Lord Luce,Luce,M,2000-10-02,
68d72c6d-5f99-4720-8680-11820ef27dcb,908.0,,Richard Luce,Richard Luce,Richard Luce,Luce,M,,2000-01-01
f2357fdd-fb66-47e8-8d7e-119f1313a7c6,4849.0,,Alex Davies-Jones,Alex Davies-Jones,Alex Davies-Jones,Davies-Jones,F,,
babb20c5-ff89-4316-8410-14003a870dd4,4527.0,,Helen Whately,Helen Whately,Helen Whately,Whately,F,,
76bdb776-d783-4f2c-b0d6-1431b972a6f8,3359.0,,Earl of Courtown,Earl of Courtown,Earl of Courtown,Courtown,M,,
4445cb11-9216-44a8-9c6a-1482a44e0bc8,1488.0,,Brooks Newmark,Brooks Newmark,Brooks Newmark,Newmark,M,,
27fd3a1a-c21d-4024-91ef-148e58ff2d92,4451.0,,Kevin Foster,Kevin Foster,Kevin Foster,Foster,M,,
74ae21b5-d4a3-40c3-aec2-14e5acc8975c,537.0,,Nick Ainger,Nick Ainger,Nick Ainger,Ainger,M,,
b7d373b3-d693-4dfb-9b7f-14eeae4e062b,377.0,,Elliot Morley,Elliot Morley,Elliot Morley,Morley,M,,
5469eab0-d925-487f-a5e5-157d2d077b2f,1156.0,,Timothy Wood,Timothy Wood,Timothy Wood,Wood,M,,
526ebbb3-91b1-4ec4-97aa-1606757e1def,3546.0,,Baroness Blatch,Baroness Blatch,Baroness Blatch,Blatch,F,,
c683728f-5d17-424a-9f66-163cda46a1bc,4160.0,,Jim Knight,Jim Knight,Jim Knight,Knight,M,,2010-06-23
c683728f-5d17-424a-9f66-163cda46a1bc,4160.0,,Lord Knight of Weymouth,Lord Knight of Weymouth,Lord Knight of Weymouth,Knight,M,2010-06-23,
88273c88-f12f-4201-b731-16c0f68404e3,4813.0,,Richard Holden,Richard Holden,Richard Holden,Holden,M,,
31d98222-ddab-4d35-9ecc-1701139e97f1,3922.0,,Conor Burns,Conor Burns,Conor Burns,Burns,M,,
85e3fe3a-8fc5-45ef-a65e-17025fb895bf,1154.0,,Mark Robinson,Mark Robinson,Mark Robinson,Robinson,M,,
fa64f4ca-a802-48b1-84cf-176932c42711,3428.0,,Lord Astor of Hever,Lord Astor of Hever,Lord Astor of Hever,Astor,M,,
3a638ab2-0a98-4fac-8782-177e90969ed7,33.0,,Eric Pickles,Eric Pickles,Eric Pickles,Pickles,M,,2018-06-18
3a638ab2-0a98-4fac-8782-177e90969ed7,33.0,,Lord Pickles,Lord Pickles,Lord Pickles,Pickles,M,2018-06-18,
889457ea-b2a5-4731-a049-178bd3269211,1491.0,,Kerry McCarthy,Kerry McCarthy,Kerry McCarthy,McCarthy,F,,
dd2af02c-ac0d-446e-950e-17c6ffed4eaf,4627.0,,Douglas Ross,Douglas Ross,Douglas Ross,Ross,M,,
28dda0c4-6571-4aca-bcc7-1841bd5ae6af,4589.0,,Robert Courts,Robert Courts,Robert Courts,Courts,M,,
ae612239-911d-4cb2-8a54-1879b4526e14,994.0,,David Hunt,David Hunt,David Hunt,Hunt,M,,1997-10-20
ae612239-911d-4cb2-8a54-1879b4526e14,994.0,,Lord Hunt of Wirral,Lord Hunt of Wirral,Lord Hunt of Wirral,Hunt,M,1997-10-20,
0f897c1f-992b-4d1d-8060-18a52d0cd6ba,4097.0,373.0,Liz Truss,Liz Truss,Liz Truss,Truss,F,,
2c191492-cd0a-42f6-af6b-18af627de447,439.0,,Ruth Kelly,Ruth Kelly,Ruth Kelly,Kelly,F,,
4960ecb7-d315-4486-b866-0bb7765c4f05,3972.0,,Jenny Chapman,Jenny Chapman,Jenny Chapman,Chapman,F,,2021-02-01
9c03fc9f-ae19-4893-a31a-1938d4862225,562.0,,Alun Michael,Alun Michael,Alun Michael,Michael,M,,
eb4b9ce6-d262-4fdf-8ff5-1959bb4f4ece,4107.0,,Harriett Baldwin,Harriett Baldwin,Harriett Baldwin,Baldwin,F,,
45a6a3da-4313-4243-b11a-196020003325,4336.0,,Lord Callanan,Lord Callanan,Lord Callanan,Callanan,M,,
8cf85534-f6e2-42a8-b703-19bec44937e7,4635.0,,Eddie Hughes,Eddie Hughes,Eddie Hughes,Hughes,M,,
f1c1a177-68d7-4951-98f9-1a5acac176a7,91.0,,John Stanley,John Stanley,John Stanley,Stanley,M,,
38bed791-f68b-4a29-949b-1a6c6b38272b,1478.0,,Iain Wright,Iain Wright,Iain Wright,Wright,M,,
9d55257a-96cb-4e13-aaed-1a6d19374ec3,1391.0,,Siôn Simon,Siôn Simon,Sion Simon,Simon,M,,
5341ff8a-ec03-4e1d-bf32-1ad47bca01ad,4669.0,,Damien Moore,Damien Moore,Damien Moore,Moore,M,,
3d7f9eab-45b6-48b4-ba2a-1af64a72790e,3236.0,,Lord Rodger of Earlsferry,Lord Rodger of Earlsferry,Lord Rodger of Earlsferry,Rodger,M,1992-04-14,
cc840a25-c789-413d-8347-1b29fd79856c,637.0,,Sam Galbraith,Sam Galbraith,Sam Galbraith,Galbraith,M,,
1b1edb9d-8078-4a26-8820-1b37df351207,1217.0,,Roger Evans,Roger Evans,Roger Evans,Evans,M,,
7055dad4-4333-4ade-b14c-1b88c420d4b2,2444.0,,Lord Whitty,Lord Whitty,Lord Whitty,Whitty,M,,
a2a585c7-9330-47ef-9aa0-1b8a3a05f787,4082.0,,Lisa Nandy,Lisa Nandy,Lisa Nandy,Nandy,F,,
c285608a-1428-4511-86cb-1c154b6eb86e,417.0,,John Battle,John Battle,John Battle,Battle,M,,
6a4ebba7-18f8-44c2-8d1f-1ca66ebb4817,983.0,,Alex Fletcher,Alex Fletcher,Alex Fletcher,Fletcher,M,,
b02dea24-9b10-48f8-94d1-1ce6d5d85c3e,3317.0,,Lord Carter,Lord Carter,Lord Carter,Carter,M,,
